id,Fecha,Dia_Semana,latitude,longitude,minutsLatitude,minutsLongitude,GASOIL A,GASOLINA S/P 95,GASOLINA S/P 98,ADBLUE
A,27-03-2021,Saturday,41.78194,1.27805,41° 46' 54'',1° 16' 40'',1.038,1.179,1.217,
G002,27-03-2021,Saturday,41.615747,0.648654,41° 36' 56'',0° 38' 55'',1.04,,,0.35
G004,27-03-2021,Saturday,41.8082127,2.0979496,41° 48' 29'',2° 05' 52'',1.037,1.178,,0.35
G005,27-03-2021,Saturday,41.61,1.13,41° 36' 36'',1° 07' 48'',1.038,1.179,,
G006,27-03-2021,Saturday,41.759728,1.197853,41° 45' 35'',1° 11' 52'',1.038,,,0.35
G010,27-03-2021,Saturday,41.78818,1.28653,41° 47' 17'',1° 17' 11'',1.038,,,0.35
G011,27-03-2021,Saturday,41.47596,-0.15314,41° 28' 33'',-0° 09' 11'',1.044,1.185,,0.35
G013,27-03-2021,Saturday,41.90676,1.19335,41° 54' 24'',1° 11' 36'',1.039,1.179,,0.035
G014,27-03-2021,Saturday,41.615767,0.649495,41° 36' 56'',0° 38' 58'',1.04,1.181,,
G015,27-03-2021,Saturday,41.782403,1.104783,41° 46' 56'',1° 06' 17'',1.038,1.179,,0.35
G016,27-03-2021,Saturday,41.73321,1.52683,41° 43' 59'',1° 31' 36'',1.037,1.178,,0.35
G017,27-03-2021,Saturday,41.53298,0.84249,41° 31' 58'',0° 50' 32'',1.04,1.181,,0.35
G018,27-03-2021,Saturday,41.81048,2.531533,41° 48' 37'',2° 31' 53'',1.038,1.179,,
G019,27-03-2021,Saturday,41.807665,1.403707,41° 48' 27'',1° 24' 13'',1.038,1.178,,0.35
G020,27-03-2021,Saturday,42.147299,0.89343,42° 08' 50'',0° 53' 36'',1.042,1.182,,
G021,27-03-2021,Saturday,41.67326,1.263621,41° 40' 23'',1° 15' 49'',1.038,1.178,,0.35
G022,27-03-2021,Saturday,41.775252,0.818789,41° 46' 30'',0° 49' 07'',1.039,1.18,,0.35
G024,27-03-2021,Saturday,41.57762,0.51669,41° 34' 39'',0° 31' 00'',1.041,1.182,,
G025,27-03-2021,Saturday,41.40298,1.10438,41° 24' 10'',1° 06' 15'',1.038,1.179,,
G026,27-03-2021,Saturday,41.93972,2.24909,41° 56' 22'',2° 14' 56'',1.038,1.179,,0.35
G027,27-03-2021,Saturday,42.409381,1.130549,42° 24' 33'',1° 07' 49'',1.043,1.184,,
G028,27-03-2021,Saturday,41.23952,0.55105,41° 14' 22'',0° 33' 03'',1.042,1.183,,0.35
G029,27-03-2021,Saturday,41.386742,1.156869,41° 23' 12'',1° 09' 24'',1.038,1.179,,
G030,27-03-2021,Saturday,41.63032,0.91403,41° 37' 49'',0° 54' 50'',1.039,1.18,,
G031,27-03-2021,Saturday,41.084624,0.626256,41° 05' 04'',0° 37' 34'',1.041,1.182,,0.35
G032,27-03-2021,Saturday,41.85528,0.28294,41° 51' 19'',0° 16' 58'',1.043,1.184,,0.35
G033,27-03-2021,Saturday,41.664056,0.604624,41° 39' 50'',0° 36' 16'',1.04,1.181,1.219,0.35
G034,27-03-2021,Saturday,41.525054,0.367624,41° 31' 30'',0° 22' 03'',1.041,1.182,,0.35
G035,27-03-2021,Saturday,41.918749,0.186993,41° 55' 07'',0° 11' 13'',1.043,1.184,,0.35
G036,27-03-2021,Saturday,42.141187,0.929836,42° 08' 28'',0° 55' 47'',1.042,1.182,,0.35
G037,27-03-2021,Saturday,41.562567,1.979034,41° 33' 45'',1° 58' 44'',1.035,1.176,,0.35
G038,27-03-2021,Saturday,41.577437,1.656985,41° 34' 38'',1° 39' 25'',1.036,1.176,,0.35
G039,27-03-2021,Saturday,40.698883,0.579255,40° 41' 55'',0° 34' 45'',1.041,1.182,,0.35
G041,27-03-2021,Saturday,41.602843,1.539901,41° 36' 10'',1° 32' 23'',1.036,1.177,1.215,0.35
G042,27-03-2021,Saturday,41.299974,2.008942,41° 17' 59'',2° 00' 32'',1.034,1.175,1.213,0.35
G043,27-03-2021,Saturday,41.985462,1.550053,41° 59' 07'',1° 33' 00'',1.039,1.18,,0.35
G044,27-03-2021,Saturday,41.007028,0.911,41° 00' 25'',0° 54' 39'',1.039,1.18,,0.35
G045,27-03-2021,Saturday,41.145601,1.085197,41° 08' 44'',1° 05' 06'',1.038,1.179,,0.35
G046,27-03-2021,Saturday,41.63273,-0.983963,41° 37' 57'',-0° 59' 02'',1.047,1.188,,0.35
G047,27-03-2021,Saturday,41.499528,1.822028,41° 29' 58'',1° 49' 19'',1.035,1.176,,0.35
G048,27-03-2021,Saturday,41.353884,2.103526,41° 21' 13'',2° 06' 12'',1.033,1.174,,0.35
G049,27-03-2021,Saturday,41.430277,2.2273888,41° 25' 48'',2° 13' 38'',1.034,1.174,,0.35
G051,27-03-2021,Saturday,41.710885,-1.019607,41° 42' 39'',-1° 01' 10'',1.047,1.188,,0.35
G052,27-03-2021,Saturday,41.737297,1.841842,41° 44' 14'',1° 50' 30'',1.036,1.177,,0.35
G053,27-03-2021,Saturday,41.365572,1.98513,41° 21' 56'',1° 59' 06'',1.034,1.175,,0.35
G054,27-03-2021,Saturday,41.6524972,1.149708333,41° 39' 08'',1° 08' 58'',1.038,1.179,,0.35
G055,27-03-2021,Saturday,42.1282028,-0.416780555,42° 07' 41'',-0° 25' 00'',1.046,1.186,,0.35
G056,27-03-2021,Saturday,41.56768,2.2439,41° 34' 03'',2° 14' 38'',1.035,1.176,,0.035
G058,27-03-2021,Saturday,41.3557778,1.7426523,41° 21' 20'',1° 44' 33'',1.035,1.176,,0.35
G059,27-03-2021,Saturday,41.1140806,1.2252305555,41° 06' 50'',1° 13' 30'',1.037,1.178,,0.35
